location,event_id,video_path,total_error_windows,fp_count,fn_count,rep_window_id,rep_error_type,rep_prob,rep_tau_star,rep_error_conf,rep_mean_vis,rep_max_down_vel,fall_ann_start_frame,fall_ann_end_frame,verified_cause,hypothesis
Home_01,Le2i_Home_01_video (16),Le2i_Home_01_video (16),2,1,1,Le2i_Home_01_video (16)_w008,FN,0.102913,0.73,0.897087,0.2975,9.807456,186,199,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_01,Le2i_Home_01_video (21),Le2i_Home_01_video (21),2,2,0,Le2i_Home_01_video (21)_w005,FP,0.831805,0.73,0.831805,0.3176,10.452539,148,156,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Home_01,Le2i_Home_01_video (8),Le2i_Home_01_video (8),2,0,2,Le2i_Home_01_video (8)_w008,FN,1e-06,0.73,0.999999,0.4465,0.209919,125,139,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_01,Le2i_Home_01_video (23),Le2i_Home_01_video (23),2,2,0,Le2i_Home_01_video (23)_w006,FP,0.9556,0.73,0.9556,0.2472,11.287455,165,173,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Home_01,Le2i_Home_01_video (27),Le2i_Home_01_video (27),2,2,0,Le2i_Home_01_video (27)_w005,FP,0.999477,0.73,0.999477,0.436,2.356868,168,175,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Home_01,Le2i_Home_01_video (5),Le2i_Home_01_video (5),2,1,1,Le2i_Home_01_video (5)_w002,FP,0.971508,0.73,0.971508,0.3414,18.203659,109,125,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_01,Le2i_Home_01_video (10),Le2i_Home_01_video (10),2,0,2,Le2i_Home_01_video (10)_w009,FN,1e-06,0.73,0.999999,0.4686,1.259238,135,150,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_01,Le2i_Home_01_video (15),Le2i_Home_01_video (15),2,2,0,Le2i_Home_01_video (15)_w005,FP,0.993291,0.73,0.993291,0.4588,20.030689,170,184,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (47),Le2i_Coffee_room_01_video (47),2,0,2,Le2i_Coffee_room_01_video (47)_w025,FN,0.0,0.47,1.0,0.2281,76.131805,625,658,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Coffee_room_01,Le2i_Coffee_room_01_video (4),Le2i_Coffee_room_01_video (4),2,2,0,Le2i_Coffee_room_01_video (4)_w006,FP,0.975147,0.47,0.975147,0.2691,22.979141,123,155,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (8),Le2i_Coffee_room_01_video (8),2,1,1,Le2i_Coffee_room_01_video (8)_w007,FP,1.0,0.47,1.0,0.0089,39.050438,157,182,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Coffee_room_01,Le2i_Coffee_room_01_video (46),Le2i_Coffee_room_01_video (46),2,0,2,Le2i_Coffee_room_01_video (46)_w008,FN,0.0,0.47,1.0,0.1939,123.142189,165,187,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_02,Le2i_Home_02_video (51),Le2i_Home_02_video (51),2,2,0,Le2i_Home_02_video (51)_w006,FP,0.732817,0.43,0.732817,0.3921,2.618518,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Home_01,Le2i_Home_01_video (7),Le2i_Home_01_video (7),2,1,1,Le2i_Home_01_video (7)_w006,FP,0.831459,0.73,0.831459,0.4054,2.316308,139,154,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Coffee_room_01,Le2i_Coffee_room_01_video (45),Le2i_Coffee_room_01_video (45),1,1,0,Le2i_Coffee_room_01_video (45)_w005,FP,0.710702,0.47,0.710702,0.4387,0.167033,100,129,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (36),Le2i_Coffee_room_01_video (36),1,0,1,Le2i_Coffee_room_01_video (36)_w042,FN,0.000585,0.47,0.999415,0.4525,0.224406,1088,1116,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Coffee_room_01,Le2i_Coffee_room_01_video (37),Le2i_Coffee_room_01_video (37),1,1,0,Le2i_Coffee_room_01_video (37)_w003,FP,1.0,0.47,1.0,0.2808,76.743668,57,82,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (31),Le2i_Coffee_room_01_video (31),1,1,0,Le2i_Coffee_room_01_video (31)_w007,FP,0.829364,0.47,0.829364,0.2977,0.555745,158,176,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (32),Le2i_Coffee_room_01_video (32),1,1,0,Le2i_Coffee_room_01_video (32)_w009,FP,0.848083,0.47,0.848083,0.4472,0.125629,206,229,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (33),Le2i_Coffee_room_01_video (33),1,0,1,Le2i_Coffee_room_01_video (33)_w002,FN,0.303168,0.47,0.696832,0.3879,1.341979,87,116,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Coffee_room_01,Le2i_Coffee_room_01_video (34),Le2i_Coffee_room_01_video (34),1,1,0,Le2i_Coffee_room_01_video (34)_w014,FP,0.842528,0.47,0.842528,0.4575,0.219415,331,357,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (35),Le2i_Coffee_room_01_video (35),1,1,0,Le2i_Coffee_room_01_video (35)_w004,FP,0.847978,0.47,0.847978,0.4673,0.885282,74,106,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (28),Le2i_Coffee_room_01_video (28),1,0,1,Le2i_Coffee_room_01_video (28)_w001,FN,0.159053,0.47,0.840947,0.4234,5.316259,59,90,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Coffee_room_01,Le2i_Coffee_room_01_video (3),Le2i_Coffee_room_01_video (3),1,1,0,Le2i_Coffee_room_01_video (3)_w000,FP,0.982514,0.47,0.982514,0.2174,6.65783,223,261,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (25),Le2i_Coffee_room_01_video (25),1,1,0,Le2i_Coffee_room_01_video (25)_w007,FP,0.817692,0.47,0.817692,0.3669,1.058513,137,179,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (11),Le2i_Coffee_room_01_video (11),1,1,0,Le2i_Coffee_room_01_video (11)_w016,FP,0.864196,0.47,0.864196,0.42,0.174135,375,404,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (14),Le2i_Coffee_room_01_video (14),1,1,0,Le2i_Coffee_room_01_video (14)_w003,FP,0.876979,0.47,0.876979,0.3449,2.207026,52,76,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (17),Le2i_Coffee_room_01_video (17),1,1,0,Le2i_Coffee_room_01_video (17)_w002,FP,0.850933,0.47,0.850933,0.4659,0.9049,20,57,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (18),Le2i_Coffee_room_01_video (18),1,1,0,Le2i_Coffee_room_01_video (18)_w007,FP,0.898148,0.47,0.898148,0.4528,0.55568,154,184,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (21),Le2i_Coffee_room_01_video (21),1,1,0,Le2i_Coffee_room_01_video (21)_w004,FP,1.0,0.47,1.0,0.2199,51.018784,85,101,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (1),Le2i_Coffee_room_01_video (1),1,1,0,Le2i_Coffee_room_01_video (1)_w003,FP,0.860922,0.47,0.860922,0.4287,0.247895,48,80,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_01,Le2i_Coffee_room_01_video (13),Le2i_Coffee_room_01_video (13),1,0,1,Le2i_Coffee_room_01_video (13)_w005,FN,0.0,0.47,1.0,0.0016,31.571028,96,115,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_01,Le2i_Home_01_video (20),Le2i_Home_01_video (20),1,1,0,Le2i_Home_01_video (20)_w006,FP,0.820635,0.73,0.820635,0.3053,8.54468,147,158,VERIFIED Pre/Post-Fall Window Misclassified (FP),Window adjacent to fall event captured rapid movement or post-fall posture
Coffee_room_02,Le2i_Coffee_room_02_video (55),Le2i_Coffee_room_02_video (55),1,1,0,Le2i_Coffee_room_02_video (55)_w007,FP,0.811113,0.49,0.811113,0.4142,0.263315,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Coffee_room_02,Le2i_Coffee_room_02_video (59),Le2i_Coffee_room_02_video (59),1,1,0,Le2i_Coffee_room_02_video (59)_w006,FP,0.626504,0.49,0.626504,0.3999,0.814794,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Coffee_room_02,Le2i_Coffee_room_02_video (60),Le2i_Coffee_room_02_video (60),1,1,0,Le2i_Coffee_room_02_video (60)_w006,FP,0.780985,0.49,0.780985,0.4603,0.87423,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Coffee_room_02,Le2i_Coffee_room_02_video (61),Le2i_Coffee_room_02_video (61),1,1,0,Le2i_Coffee_room_02_video (61)_w038,FP,0.67025,0.49,0.67025,0.4167,0.348493,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Coffee_room_02,Le2i_Coffee_room_02_video (64),Le2i_Coffee_room_02_video (64),1,0,1,Le2i_Coffee_room_02_video (64)_w004,FN,0.120271,0.49,0.879729,0.4762,1.389889,0,0,VERIFIED Ambiguous Boundary Window,Boundary frame window near threshold
Coffee_room_02,Le2i_Coffee_room_02_video (54),Le2i_Coffee_room_02_video (54),1,0,1,Le2i_Coffee_room_02_video (54)_w008,FN,0.371583,0.49,0.628417,0.0,0.0,0,0,VERIFIED Ambiguous Boundary Window,Boundary frame window near threshold
Home_01,Le2i_Home_01_video (17),Le2i_Home_01_video (17),1,0,1,Le2i_Home_01_video (17)_w007,FN,0.000135,0.73,0.999865,0.3706,3.89918,154,169,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Coffee_room_02,Le2i_Coffee_room_02_video (56),Le2i_Coffee_room_02_video (56),1,1,0,Le2i_Coffee_room_02_video (56)_w013,FP,0.690018,0.49,0.690018,0.4381,1.086945,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
Home_01,Le2i_Home_01_video (30),Le2i_Home_01_video (30),1,0,1,Le2i_Home_01_video (30)_w005,FN,0.694023,0.73,0.305977,0.3928,0.701625,123,138,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_01,Le2i_Home_01_video (6),Le2i_Home_01_video (6),1,0,1,Le2i_Home_01_video (6)_w003,FN,0.620103,0.73,0.379897,0.3181,4.390051,116,140,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_02,Le2i_Home_02_video (35),Le2i_Home_02_video (35),1,0,1,Le2i_Home_02_video (35)_w006,FN,0.415241,0.43,0.584759,0.0,0.0,136,149,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_02,Le2i_Home_02_video (36),Le2i_Home_02_video (36),1,0,1,Le2i_Home_02_video (36)_w005,FN,0.415241,0.43,0.584759,0.0,0.0,124,139,VERIFIED Missed Fall Event (FN),Slow fall or posture slump failing to cross decision threshold
Home_02,Le2i_Home_02_video (59),Le2i_Home_02_video (59),1,1,0,Le2i_Home_02_video (59)_w001,FP,0.455269,0.43,0.455269,0.4508,0.819387,0,0,VERIFIED Normal ADL Video Misclassified (FP),Rapid non-fall downward motion in normal ADL video
