window_id,event_id,video_path,location,fold,ground_truth_label,ground_truth_int,predicted_prob,threshold_used,predicted_class,is_correct,error_type,confidence_margin,error_confidence,mean_keypoint_vis,max_vert_vel,min_vert_vel
Le2i_Coffee_room_01_video (4)_w000,Le2i_Coffee_room_01_video (4),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (4).avi,Coffee_room_01,1,NORMAL,0,0.820938,0.47,1,False,FP,0.350938,0.820938,0.2352,4.401883,-11.672408
Le2i_Coffee_room_01_video (4)_w006,Le2i_Coffee_room_01_video (4),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (4).avi,Coffee_room_01,1,NORMAL,0,0.975147,0.47,1,False,FP,0.505147,0.975147,0.2691,22.979141,-16.182133
Le2i_Coffee_room_01_video (45)_w005,Le2i_Coffee_room_01_video (45),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (45).avi,Coffee_room_01,1,NORMAL,0,0.710702,0.47,1,False,FP,0.240702,0.710702,0.4387,0.167033,-0.150961
Le2i_Coffee_room_01_video (46)_w005,Le2i_Coffee_room_01_video (46),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (46).avi,Coffee_room_01,1,FALL,1,0.012825,0.47,0,False,FN,0.457175,0.987175,0.462,0.582098,-0.395303
Le2i_Coffee_room_01_video (46)_w008,Le2i_Coffee_room_01_video (46),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (46).avi,Coffee_room_01,1,FALL,1,0.0,0.47,0,False,FN,0.47,1.0,0.1939,123.142189,-123.380104
Le2i_Coffee_room_01_video (47)_w025,Le2i_Coffee_room_01_video (47),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (47).avi,Coffee_room_01,1,FALL,1,0.0,0.47,0,False,FN,0.47,1.0,0.2281,76.131805,-85.431099
Le2i_Coffee_room_01_video (47)_w027,Le2i_Coffee_room_01_video (47),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (47).avi,Coffee_room_01,1,FALL,1,0.0,0.47,0,False,FN,0.47,1.0,0.0255,54.401077,-67.241364
Le2i_Coffee_room_01_video (8)_w007,Le2i_Coffee_room_01_video (8),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (8).avi,Coffee_room_01,1,NORMAL,0,1.0,0.47,1,False,FP,0.53,1.0,0.0089,39.050438,-39.050438
Le2i_Coffee_room_01_video (8)_w008,Le2i_Coffee_room_01_video (8),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_01\Coffee_room_01\Videos\video (8).avi,Coffee_room_01,1,FALL,1,0.341016,0.47,0,False,FN,0.128984,0.658984,0.0,0.0,0.0
Le2i_Coffee_room_02_video (54)_w008,Le2i_Coffee_room_02_video (54),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (54).avi,Coffee_room_02,2,FALL,1,0.371583,0.49,0,False,FN,0.118417,0.628417,0.0,0.0,0.0
Le2i_Coffee_room_02_video (55)_w007,Le2i_Coffee_room_02_video (55),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (55).avi,Coffee_room_02,2,NORMAL,0,0.811113,0.49,1,False,FP,0.321113,0.811113,0.4142,0.263315,-0.738065
Le2i_Coffee_room_02_video (56)_w013,Le2i_Coffee_room_02_video (56),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (56).avi,Coffee_room_02,2,NORMAL,0,0.690018,0.49,1,False,FP,0.200018,0.690018,0.4381,1.086945,-0.417719
Le2i_Coffee_room_02_video (59)_w006,Le2i_Coffee_room_02_video (59),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (59).avi,Coffee_room_02,2,NORMAL,0,0.626504,0.49,1,False,FP,0.136504,0.626504,0.3999,0.814794,-0.551485
Le2i_Coffee_room_02_video (60)_w006,Le2i_Coffee_room_02_video (60),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (60).avi,Coffee_room_02,2,NORMAL,0,0.780985,0.49,1,False,FP,0.290985,0.780985,0.4603,0.87423,-0.942747
Le2i_Coffee_room_02_video (61)_w038,Le2i_Coffee_room_02_video (61),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (61).avi,Coffee_room_02,2,NORMAL,0,0.67025,0.49,1,False,FP,0.18025,0.67025,0.4167,0.348493,-0.270409
Le2i_Coffee_room_02_video (63)_w019,Le2i_Coffee_room_02_video (63),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (63).avi,Coffee_room_02,2,NORMAL,0,0.611462,0.49,1,False,FP,0.121462,0.611462,0.3492,0.572802,-0.538321
Le2i_Coffee_room_02_video (63)_w020,Le2i_Coffee_room_02_video (63),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (63).avi,Coffee_room_02,2,NORMAL,0,0.618122,0.49,1,False,FP,0.128122,0.618122,0.3361,0.572802,-0.538321
Le2i_Coffee_room_02_video (63)_w021,Le2i_Coffee_room_02_video (63),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (63).avi,Coffee_room_02,2,NORMAL,0,0.658377,0.49,1,False,FP,0.168377,0.658377,0.3625,0.373582,-0.401609
Le2i_Coffee_room_02_video (64)_w004,Le2i_Coffee_room_02_video (64),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (64).avi,Coffee_room_02,2,FALL,1,0.120271,0.49,0,False,FN,0.369729,0.879729,0.4762,1.389889,-1.482558
Le2i_Coffee_room_02_video (70)_w007,Le2i_Coffee_room_02_video (70),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (70).avi,Coffee_room_02,2,NORMAL,0,0.604399,0.49,1,False,FP,0.114399,0.604399,0.1937,227.555954,-137.110428
Le2i_Coffee_room_02_video (70)_w008,Le2i_Coffee_room_02_video (70),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (70).avi,Coffee_room_02,2,NORMAL,0,0.604399,0.49,1,False,FP,0.114399,0.604399,0.0223,227.555954,-137.110428
Le2i_Coffee_room_02_video (70)_w009,Le2i_Coffee_room_02_video (70),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (70).avi,Coffee_room_02,2,NORMAL,0,0.604399,0.49,1,False,FP,0.114399,0.604399,0.0169,88.999969,-112.004852
Le2i_Coffee_room_02_video (70)_w010,Le2i_Coffee_room_02_video (70),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (70).avi,Coffee_room_02,2,NORMAL,0,0.604399,0.49,1,False,FP,0.114399,0.604399,0.0171,88.999969,-112.004852
Le2i_Coffee_room_02_video (70)_w011,Le2i_Coffee_room_02_video (70),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (70).avi,Coffee_room_02,2,NORMAL,0,0.604399,0.49,1,False,FP,0.114399,0.604399,0.0331,76.136856,-101.684967
Le2i_Coffee_room_02_video (70)_w012,Le2i_Coffee_room_02_video (70),D:\ONE_DATA\Fall detection\Le2i\data\Coffee_room_02\Coffee_room_02\Videos\video (70).avi,Coffee_room_02,2,NORMAL,0,0.604399,0.49,1,False,FP,0.114399,0.604399,0.1875,76.136856,-76.779381
Le2i_Home_01_video (10)_w009,Le2i_Home_01_video (10),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (10).avi,Home_01,3,FALL,1,1e-06,0.73,0,False,FN,0.729999,0.999999,0.4686,1.259238,-0.561754
Le2i_Home_01_video (10)_w010,Le2i_Home_01_video (10),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (10).avi,Home_01,3,FALL,1,1e-06,0.73,0,False,FN,0.729999,0.999999,0.3904,0.483543,-0.561754
Le2i_Home_01_video (11)_w008,Le2i_Home_01_video (11),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (11).avi,Home_01,3,FALL,1,0.070436,0.73,0,False,FN,0.659564,0.929564,0.2302,9.864078,-19.811529
Le2i_Home_01_video (11)_w009,Le2i_Home_01_video (11),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (11).avi,Home_01,3,FALL,1,0.004451,0.73,0,False,FN,0.725549,0.995549,0.4666,9.864078,-19.811529
Le2i_Home_01_video (11)_w010,Le2i_Home_01_video (11),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (11).avi,Home_01,3,FALL,1,2e-06,0.73,0,False,FN,0.729998,0.999998,0.3888,0.258781,-0.374381
Le2i_Home_01_video (15)_w005,Le2i_Home_01_video (15),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (15).avi,Home_01,3,NORMAL,0,0.993291,0.73,1,False,FP,0.263291,0.993291,0.4588,20.030689,-31.681686
Le2i_Home_01_video (15)_w007,Le2i_Home_01_video (15),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (15).avi,Home_01,3,NORMAL,0,0.943363,0.73,1,False,FP,0.213363,0.943363,0.0164,24.838776,-7.599957
Le2i_Home_01_video (16)_w002,Le2i_Home_01_video (16),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (16).avi,Home_01,3,NORMAL,0,0.761421,0.73,1,False,FP,0.031421,0.761421,0.3933,0.336275,-0.596563
Le2i_Home_01_video (16)_w008,Le2i_Home_01_video (16),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (16).avi,Home_01,3,FALL,1,0.102913,0.73,0,False,FN,0.627087,0.897087,0.2975,9.807456,-10.290413
Le2i_Home_01_video (17)_w007,Le2i_Home_01_video (17),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (17).avi,Home_01,3,FALL,1,0.000135,0.73,0,False,FN,0.729865,0.999865,0.3706,3.89918,-4.861753
Le2i_Home_01_video (19)_w002,Le2i_Home_01_video (19),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (19).avi,Home_01,3,NORMAL,0,0.942264,0.73,1,False,FP,0.212264,0.942264,0.3318,39.284828,-38.673729
Le2i_Home_01_video (19)_w003,Le2i_Home_01_video (19),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (19).avi,Home_01,3,NORMAL,0,0.953103,0.73,1,False,FP,0.223103,0.953103,0.3281,39.284828,-38.673729
Le2i_Home_01_video (20)_w006,Le2i_Home_01_video (20),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (20).avi,Home_01,3,NORMAL,0,0.820635,0.73,1,False,FP,0.090635,0.820635,0.3053,8.54468,-8.54468
Le2i_Home_01_video (21)_w005,Le2i_Home_01_video (21),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (21).avi,Home_01,3,NORMAL,0,0.831805,0.73,1,False,FP,0.101805,0.831805,0.3176,10.452539,-15.458312
Le2i_Home_01_video (21)_w006,Le2i_Home_01_video (21),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (21).avi,Home_01,3,NORMAL,0,0.820635,0.73,1,False,FP,0.090635,0.820635,0.3053,8.54468,-8.54468
Le2i_Home_01_video (23)_w005,Le2i_Home_01_video (23),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (23).avi,Home_01,3,NORMAL,0,0.859164,0.73,1,False,FP,0.129164,0.859164,0.3397,11.287455,-11.287455
Le2i_Home_01_video (23)_w006,Le2i_Home_01_video (23),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (23).avi,Home_01,3,NORMAL,0,0.9556,0.73,1,False,FP,0.2256,0.9556,0.2472,11.287455,-11.993891
Le2i_Home_01_video (27)_w005,Le2i_Home_01_video (27),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (27).avi,Home_01,3,NORMAL,0,0.999477,0.73,1,False,FP,0.269477,0.999477,0.436,2.356868,-2.911295
Le2i_Home_01_video (27)_w006,Le2i_Home_01_video (27),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (27).avi,Home_01,3,NORMAL,0,0.989659,0.73,1,False,FP,0.259659,0.989659,0.4246,9.768919,-13.291708
Le2i_Home_01_video (30)_w005,Le2i_Home_01_video (30),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (30).avi,Home_01,3,FALL,1,0.694023,0.73,0,False,FN,0.035977,0.305977,0.3928,0.701625,-0.856209
Le2i_Home_01_video (5)_w002,Le2i_Home_01_video (5),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (5).avi,Home_01,3,NORMAL,0,0.971508,0.73,1,False,FP,0.241508,0.971508,0.3414,18.203659,-18.233448
Le2i_Home_01_video (5)_w005,Le2i_Home_01_video (5),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (5).avi,Home_01,3,FALL,1,0.628011,0.73,0,False,FN,0.101989,0.371989,0.0,0.0,0.0
Le2i_Home_01_video (6)_w003,Le2i_Home_01_video (6),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (6).avi,Home_01,3,FALL,1,0.620103,0.73,0,False,FN,0.109897,0.379897,0.3181,4.390051,-0.934711
Le2i_Home_01_video (7)_w004,Le2i_Home_01_video (7),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (7).avi,Home_01,3,FALL,1,0.709913,0.73,0,False,FN,0.020087,0.290087,0.3547,10.783785,-10.783785
Le2i_Home_01_video (7)_w006,Le2i_Home_01_video (7),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (7).avi,Home_01,3,NORMAL,0,0.831459,0.73,1,False,FP,0.101459,0.831459,0.4054,2.316308,-2.154628
Le2i_Home_01_video (8)_w008,Le2i_Home_01_video (8),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (8).avi,Home_01,3,FALL,1,1e-06,0.73,0,False,FN,0.729999,0.999999,0.4465,0.209919,-0.1287
Le2i_Home_01_video (8)_w009,Le2i_Home_01_video (8),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (8).avi,Home_01,3,FALL,1,0.000217,0.73,0,False,FN,0.729783,0.999783,0.2586,2.658484,-0.397981
Le2i_Home_01_video (9)_w008,Le2i_Home_01_video (9),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (9).avi,Home_01,3,FALL,1,3e-06,0.73,0,False,FN,0.729997,0.999997,0.4614,4.22044,-1.68423
Le2i_Home_01_video (9)_w009,Le2i_Home_01_video (9),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (9).avi,Home_01,3,FALL,1,1e-06,0.73,0,False,FN,0.729999,0.999999,0.3858,0.606922,-0.270498
Le2i_Home_01_video (9)_w010,Le2i_Home_01_video (9),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (9).avi,Home_01,3,FALL,1,0.475476,0.73,0,False,FN,0.254524,0.524524,0.1755,3.84708,-0.98942
Le2i_Home_01_video (9)_w011,Le2i_Home_01_video (9),D:\ONE_DATA\Fall detection\Le2i\data\Home_01\Home_01\Videos\video (9).avi,Home_01,3,FALL,1,0.694,0.73,0,False,FN,0.036,0.306,0.0175,3.84708,-0.98942
Le2i_Home_02_video (35)_w006,Le2i_Home_02_video (35),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (35).avi,Home_02,4,FALL,1,0.415241,0.43000000000000005,0,False,FN,0.014759,0.584759,0.0,0.0,0.0
Le2i_Home_02_video (36)_w005,Le2i_Home_02_video (36),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (36).avi,Home_02,4,FALL,1,0.415241,0.43000000000000005,0,False,FN,0.014759,0.584759,0.0,0.0,0.0
Le2i_Home_02_video (49)_w002,Le2i_Home_02_video (49),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (49).avi,Home_02,4,NORMAL,0,0.553662,0.43000000000000005,1,False,FP,0.123662,0.553662,0.4771,1.435853,-1.565627
Le2i_Home_02_video (49)_w003,Le2i_Home_02_video (49),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (49).avi,Home_02,4,NORMAL,0,0.678814,0.43000000000000005,1,False,FP,0.248814,0.678814,0.4674,1.435853,-1.565627
Le2i_Home_02_video (49)_w004,Le2i_Home_02_video (49),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (49).avi,Home_02,4,NORMAL,0,0.600437,0.43000000000000005,1,False,FP,0.170437,0.600437,0.4707,1.052264,-0.949316
Le2i_Home_02_video (50)_w002,Le2i_Home_02_video (50),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (50).avi,Home_02,4,NORMAL,0,0.553662,0.43000000000000005,1,False,FP,0.123662,0.553662,0.4771,1.435853,-1.565627
Le2i_Home_02_video (50)_w003,Le2i_Home_02_video (50),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (50).avi,Home_02,4,NORMAL,0,0.678814,0.43000000000000005,1,False,FP,0.248814,0.678814,0.4674,1.435853,-1.565627
Le2i_Home_02_video (50)_w004,Le2i_Home_02_video (50),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (50).avi,Home_02,4,NORMAL,0,0.600437,0.43000000000000005,1,False,FP,0.170437,0.600437,0.4707,1.052264,-0.949316
Le2i_Home_02_video (51)_w006,Le2i_Home_02_video (51),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (51).avi,Home_02,4,NORMAL,0,0.732817,0.43000000000000005,1,False,FP,0.302817,0.732817,0.3921,2.618518,-2.225345
Le2i_Home_02_video (51)_w007,Le2i_Home_02_video (51),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (51).avi,Home_02,4,NORMAL,0,0.671723,0.43000000000000005,1,False,FP,0.241723,0.671723,0.426,3.830969,-4.813841
Le2i_Home_02_video (53)_w005,Le2i_Home_02_video (53),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (53).avi,Home_02,4,NORMAL,0,0.729322,0.43000000000000005,1,False,FP,0.299322,0.729322,0.2233,6.529535,-5.041785
Le2i_Home_02_video (53)_w006,Le2i_Home_02_video (53),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (53).avi,Home_02,4,NORMAL,0,0.664367,0.43000000000000005,1,False,FP,0.234367,0.664367,0.1328,5.041785,-5.041785
Le2i_Home_02_video (59)_w001,Le2i_Home_02_video (59),D:\ONE_DATA\Fall detection\Le2i\data\Home_02\Home_02\Videos\video (59).avi,Home_02,4,NORMAL,0,0.455269,0.43000000000000005,1,False,FP,0.025269,0.455269,0.4508,0.819387,-0.797242
