window_id,event_id,location,fold,ground_truth_label,error_type,predicted_prob,threshold_used,confidence_margin,error_confidence,mean_keypoint_vis,min_keypoint_vis,high_vis_ratio,low_vis_ratio,max_down_vel,mean_down_vel,max_vel_mag,mean_vel_mag,peak_abruptness_ratio,down_motion_duration,mean_torso_scale,std_torso_scale
Le2i_Coffee_room_01_video (10)_w005,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4238,0.0,0.3897,0.5509,0.272537,0.003347,0.445188,0.0472,81.4058,16,0.974576,0.023727
Le2i_Coffee_room_01_video (10)_w006,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,NORMAL,TN,3e-06,0.47,0.469997,0.0,0.4571,0.0,0.4388,0.5248,0.135154,0.000734,0.17827,0.036498,183.7661,13,0.997892,0.005673
Le2i_Coffee_room_01_video (10)_w007,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,FALL,TP,0.936133,0.47,0.466133,0.0,0.4528,0.0,0.4194,0.517,4.146084,-0.012198,4.656886,0.229335,0.0,26,0.896392,0.213284
Le2i_Coffee_room_01_video (10)_w008,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,FALL,TP,0.982763,0.47,0.512763,0.0,0.4498,0.0,0.3836,0.5079,4.146084,-0.018155,4.656886,0.425643,0.0,39,0.744725,0.205585
Le2i_Coffee_room_01_video (10)_w009,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,FALL,TP,0.959329,0.47,0.489329,0.0,0.4358,0.0,0.3406,0.5267,3.900338,-0.009029,4.451495,0.242339,0.0,31,0.646804,0.087797
Le2i_Coffee_room_01_video (10)_w010,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,FALL,TP,0.874141,0.47,0.404141,0.0,0.4373,0.0,0.3418,0.5352,0.153924,-0.002679,0.287579,0.048461,0.0,17,0.598976,0.015544
Le2i_Coffee_room_01_video (10)_w011,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,FALL,TP,0.87334,0.47,0.40334,0.0,0.4361,0.0,0.3406,0.5376,0.142005,-0.000817,0.261732,0.039777,0.0,16,0.604316,0.018645
Le2i_Coffee_room_01_video (10)_w012,Le2i_Coffee_room_01_video (10),Coffee_room_01,1,FALL,TP,0.873411,0.47,0.403411,0.0,0.4372,0.0,0.3455,0.54,0.142005,-2.6e-05,0.159166,0.035897,0.0,14,0.611572,0.017564
Le2i_Coffee_room_01_video (11)_w000,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,0.000896,0.47,0.469104,0.0,0.2479,0.0,0.1582,0.7515,0.368554,0.001843,0.66651,0.039975,199.887,16,0.99815,0.00107
Le2i_Coffee_room_01_video (11)_w001,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,9e-05,0.47,0.46991,0.0,0.2964,0.0,0.2339,0.7,0.580218,0.000936,0.66407,0.032755,619.1175,18,0.996802,0.002791
Le2i_Coffee_room_01_video (11)_w002,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,5e-06,0.47,0.469995,0.0,0.3749,0.0,0.3339,0.6164,0.580218,0.000796,0.66407,0.030099,727.5945,14,0.995024,0.002262
Le2i_Coffee_room_01_video (11)_w003,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,1e-06,0.47,0.469999,0.0,0.4081,0.0,0.3745,0.5885,0.1352,-2.1e-05,0.221199,0.033079,0.0,12,0.97147,0.030121
Le2i_Coffee_room_01_video (11)_w004,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4098,0.0,0.3733,0.5933,0.144147,0.000539,0.189176,0.038163,267.0745,12,0.957949,0.028508
Le2i_Coffee_room_01_video (11)_w005,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4119,0.0,0.3709,0.5842,0.144147,-0.000294,0.568754,0.045229,0.0,20,0.982908,0.024169
Le2i_Coffee_room_01_video (11)_w006,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,1e-06,0.47,0.469999,0.0,0.4323,0.0,0.3855,0.5527,0.112901,0.000728,0.718264,0.055941,154.9744,28,0.998036,0.00127
Le2i_Coffee_room_01_video (11)_w007,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,1.8e-05,0.47,0.469982,0.0,0.4675,0.0,0.4406,0.5103,0.198058,0.002984,0.718264,0.049869,66.3605,22,0.99786,0.001597
Le2i_Coffee_room_01_video (11)_w008,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4907,0.0,0.4836,0.4855,0.229289,0.001123,0.237749,0.031667,203.9393,14,0.996185,0.003114
Le2i_Coffee_room_01_video (11)_w009,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4586,0.0,0.4352,0.5224,0.229289,2.4e-05,0.23224,0.028278,9271.813,16,0.997336,0.003482
Le2i_Coffee_room_01_video (11)_w010,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,1e-06,0.47,0.469999,0.0,0.3834,0.0,0.3352,0.6018,0.389521,0.000475,0.390891,0.029306,817.9293,17,0.998936,0.000984
Le2i_Coffee_room_01_video (11)_w011,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,2e-05,0.47,0.46998,0.0,0.3754,0.0,0.32,0.6109,0.389521,-0.001595,0.390891,0.033512,0.0,14,0.999,0.000994
Le2i_Coffee_room_01_video (11)_w012,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,6.3e-05,0.47,0.469937,0.0,0.4064,0.0,0.3485,0.58,0.180767,-0.00118,0.234891,0.039509,0.0,18,0.999791,0.00033
Le2i_Coffee_room_01_video (11)_w013,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,TN,7e-06,0.47,0.469993,0.0,0.4148,0.0,0.3679,0.5739,0.190366,-0.002353,0.24064,0.045435,0.0,19,0.987051,0.036939
Le2i_Coffee_room_01_video (11)_w014,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,FALL,TP,0.928707,0.47,0.458707,0.0,0.4294,0.0,0.3891,0.5461,0.359553,-0.019101,0.943214,0.102768,0.0,31,0.624958,0.368107
Le2i_Coffee_room_01_video (11)_w015,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,FALL,TP,0.882977,0.47,0.412977,0.0,0.427,0.0,0.3467,0.5206,0.359553,-0.013995,0.943214,0.096056,0.0,30,0.286333,0.112164
Le2i_Coffee_room_01_video (11)_w016,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,NORMAL,FP,0.864196,0.47,0.394196,0.864196,0.42,0.0,0.3073,0.5152,0.174135,-0.00272,0.230506,0.037061,0.0,15,0.298004,0.016333
Le2i_Coffee_room_01_video (11)_w017,Le2i_Coffee_room_01_video (11),Coffee_room_01,1,FALL,TP,0.862436,0.47,0.392436,0.0,0.419,0.0,0.3042,0.5152,0.127123,-0.001164,0.230506,0.028476,0.0,9,0.299539,0.011319
Le2i_Coffee_room_01_video (12)_w000,Le2i_Coffee_room_01_video (12),Coffee_room_01,1,NORMAL,TN,0.150105,0.47,0.319895,0.0,0.4654,0.0,0.457,0.5152,1.686004,-0.084017,2.713921,0.267461,0.0,32,0.938506,0.105271
Le2i_Coffee_room_01_video (12)_w001,Le2i_Coffee_room_01_video (12),Coffee_room_01,1,FALL,TP,0.996731,0.47,0.526731,0.0,0.4217,0.0,0.3958,0.5552,13.269938,-0.001795,31.951008,1.713826,0.0,46,0.847591,0.214823
Le2i_Coffee_room_01_video (12)_w002,Le2i_Coffee_room_01_video (12),Coffee_room_01,1,FALL,TP,0.995461,0.47,0.525461,0.0,0.382,0.0,0.3394,0.6012,13.269938,0.06982,31.951008,1.551066,190.0572,41,0.823952,0.195782
Le2i_Coffee_room_01_video (12)_w003,Le2i_Coffee_room_01_video (12),Coffee_room_01,1,FALL,TP,0.855428,0.47,0.385428,0.0,0.3799,0.0,0.3291,0.6067,0.943837,-0.00138,1.433907,0.101588,0.0,32,0.824279,0.022968
Le2i_Coffee_room_01_video (12)_w004,Le2i_Coffee_room_01_video (12),Coffee_room_01,1,FALL,TP,0.798898,0.47,0.328898,0.0,0.3814,0.0,0.3303,0.6042,0.131625,-0.002669,0.163473,0.037885,0.0,23,0.813071,0.011378
Le2i_Coffee_room_01_video (12)_w005,Le2i_Coffee_room_01_video (12),Coffee_room_01,1,FALL,TP,0.803681,0.47,0.333681,0.0,0.3796,0.0,0.3267,0.6042,0.203522,-0.004953,0.345351,0.048063,0.0,20,0.803679,0.007652
Le2i_Coffee_room_01_video (13)_w000,Le2i_Coffee_room_01_video (13),Coffee_room_01,1,NORMAL,TN,7.3e-05,0.47,0.469927,0.0,0.4852,0.0,0.483,0.4958,0.40537,0.018771,0.56599,0.091096,21.5947,29,0.998734,0.001105
Le2i_Coffee_room_01_video (13)_w001,Le2i_Coffee_room_01_video (13),Coffee_room_01,1,NORMAL,TN,0.000178,0.47,0.469822,0.0,0.4878,0.0,0.483,0.4927,0.40537,0.028731,0.56599,0.073257,14.1086,23,0.999215,0.001102
Le2i_Coffee_room_01_video (13)_w002,Le2i_Coffee_room_01_video (13),Coffee_room_01,1,NORMAL,TN,0.001691,0.47,0.468309,0.0,0.4804,0.0,0.4721,0.4927,0.981959,-0.0353,1.296064,0.072807,0.0,8,0.984333,0.063685
Le2i_Coffee_room_01_video (13)_w003,Le2i_Coffee_room_01_video (13),Coffee_room_01,1,FALL,TP,1.0,0.47,0.53,0.0,0.2847,0.0,0.2685,0.6945,41.570381,-0.51131,51.479496,3.100324,0.0,20,0.615179,0.463087
Le2i_Coffee_room_01_video (13)_w004,Le2i_Coffee_room_01_video (13),Coffee_room_01,1,FALL,TP,0.929306,0.47,0.459306,0.0,0.0512,0.0,0.0382,0.9442,41.570381,0.056444,51.479496,3.880217,736.481,20,0.250315,0.419772
Le2i_Coffee_room_01_video (13)_w005,Le2i_Coffee_room_01_video (13),Coffee_room_01,1,FALL,FN,0.0,0.47,0.47,1.0,0.0016,0.0,0.0,1.0,31.571028,0.308052,31.856339,1.080477,102.4857,8,0.139722,0.346298
Le2i_Coffee_room_01_video (13)_w006,Le2i_Coffee_room_01_video (13),Coffee_room_01,1,FALL,TP,1.0,0.47,0.53,0.0,0.0005,0.0,0.0,1.0,23.551918,0.0,23.760458,0.978828,23376273.4429,4,0.03998,0.195863
Le2i_Coffee_room_01_video (13)_w007,Le2i_Coffee_room_01_video (13),Coffee_room_01,1,FALL,TP,0.998568,0.47,0.528568,0.0,0.0009,0.0,0.0,1.0,50.012196,-0.704018,72.319603,2.420279,0.0,6,0.07993,0.271055
Le2i_Coffee_room_01_video (14)_w000,Le2i_Coffee_room_01_video (14),Coffee_room_01,1,NORMAL,TN,0.000383,0.47,0.469617,0.0,0.3323,0.0,0.2582,0.6606,0.277387,-0.002872,0.331828,0.03071,0.0,15,0.997099,0.004756
Le2i_Coffee_room_01_video (14)_w001,Le2i_Coffee_room_01_video (14),Coffee_room_01,1,FALL,TP,0.912804,0.47,0.442804,0.0,0.3681,0.0,0.3152,0.6248,1.95161,-0.047569,2.375071,0.198353,0.0,32,0.960105,0.046984
Le2i_Coffee_room_01_video (14)_w002,Le2i_Coffee_room_01_video (14),Coffee_room_01,1,FALL,TP,0.9013,0.47,0.4313,0.0,0.3588,0.0,0.3109,0.6267,2.207026,-0.065477,2.612541,0.309721,0.0,45,0.952813,0.041645
Le2i_Coffee_room_01_video (14)_w003,Le2i_Coffee_room_01_video (14),Coffee_room_01,1,NORMAL,FP,0.876979,0.47,0.406979,0.876979,0.3449,0.0,0.2945,0.6364,2.207026,-0.024748,2.612541,0.26348,0.0,44,0.978072,0.007229
Le2i_Coffee_room_01_video (14)_w004,Le2i_Coffee_room_01_video (14),Coffee_room_01,1,FALL,TP,0.86161,0.47,0.39161,0.0,0.3424,0.0,0.2945,0.6364,1.452577,-0.015936,1.72171,0.226007,0.0,40,0.973027,0.005378
Le2i_Coffee_room_01_video (14)_w005,Le2i_Coffee_room_01_video (14),Coffee_room_01,1,FALL,TP,0.866169,0.47,0.396169,0.0,0.3448,0.0,0.2964,0.6364,1.448746,-0.007961,1.711247,0.196401,0.0,39,0.973473,0.00489
Le2i_Coffee_room_01_video (15)_w000,Le2i_Coffee_room_01_video (15),Coffee_room_01,1,NORMAL,TN,0.000595,0.47,0.469405,0.0,0.2945,0.0,0.2152,0.6921,0.288936,-0.000482,0.337217,0.036821,0.0,26,0.995473,0.004576
Le2i_Coffee_room_01_video (15)_w001,Le2i_Coffee_room_01_video (15),Coffee_room_01,1,FALL,TP,0.955241,0.47,0.485241,0.0,0.3457,0.0,0.2812,0.6436,1.715668,-0.057474,2.213459,0.261437,0.0,36,0.95595,0.048446
Le2i_Coffee_room_01_video (15)_w002,Le2i_Coffee_room_01_video (15),Coffee_room_01,1,FALL,TP,0.922586,0.47,0.452586,0.0,0.3568,0.0,0.3079,0.6315,1.715668,-0.051911,2.213459,0.33722,0.0,44,0.936291,0.03462
Le2i_Coffee_room_01_video (15)_w003,Le2i_Coffee_room_01_video (15),Coffee_room_01,1,FALL,TP,0.872014,0.47,0.402014,0.0,0.3536,0.0,0.3055,0.6364,0.785322,-0.0035,0.939496,0.161086,0.0,44,0.952918,0.006233
Le2i_Coffee_room_01_video (16)_w000,Le2i_Coffee_room_01_video (16),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4349,0.0,0.3909,0.5424,0.346046,-0.001913,0.417748,0.059423,0.0,23,0.928689,0.155338
Le2i_Coffee_room_01_video (16)_w001,Le2i_Coffee_room_01_video (16),Coffee_room_01,1,FALL,TP,0.934005,0.47,0.464005,0.0,0.4028,0.0,0.3479,0.5861,0.362458,-0.028816,0.541746,0.10541,0.0,32,0.597952,0.303931
Le2i_Coffee_room_01_video (16)_w002,Le2i_Coffee_room_01_video (16),Coffee_room_01,1,FALL,TP,0.899483,0.47,0.429483,0.0,0.3684,0.0,0.2836,0.6285,0.362458,-0.021489,0.541746,0.103931,0.0,29,0.338958,0.036052
Le2i_Coffee_room_01_video (16)_w003,Le2i_Coffee_room_01_video (16),Coffee_room_01,1,FALL,TP,0.892441,0.47,0.422441,0.0,0.3645,0.0,0.2721,0.6376,0.351974,-0.000228,0.415296,0.063191,0.0,21,0.348196,0.011093
Le2i_Coffee_room_01_video (16)_w004,Le2i_Coffee_room_01_video (16),Coffee_room_01,1,FALL,TP,0.892724,0.47,0.422724,0.0,0.3664,0.0,0.2721,0.637,0.312387,-0.002774,0.385582,0.051717,0.0,16,0.345572,0.011974
Le2i_Coffee_room_01_video (16)_w005,Le2i_Coffee_room_01_video (16),Coffee_room_01,1,FALL,TP,0.882825,0.47,0.412825,0.0,0.3687,0.0,0.2727,0.6364,0.312387,-0.000573,0.377137,0.046112,0.0,14,0.344086,0.012051
Le2i_Coffee_room_01_video (17)_w000,Le2i_Coffee_room_01_video (17),Coffee_room_01,1,FALL,TP,0.963001,0.47,0.493001,0.0,0.472,0.0,0.457,0.4976,2.002782,-0.040598,2.497141,0.27325,0.0,38,0.641079,0.374103
Le2i_Coffee_room_01_video (17)_w001,Le2i_Coffee_room_01_video (17),Coffee_room_01,1,FALL,TP,0.940869,0.47,0.470869,0.0,0.4642,0.0,0.4436,0.4909,2.002782,0.003376,2.497141,0.267952,593.065,40,0.171085,0.206064
Le2i_Coffee_room_01_video (17)_w002,Le2i_Coffee_room_01_video (17),Coffee_room_01,1,NORMAL,FP,0.850933,0.47,0.380933,0.850933,0.4659,0.0,0.443,0.4848,0.9049,0.008472,0.940586,0.069654,106.8,23,0.032031,0.023778
Le2i_Coffee_room_01_video (17)_w003,Le2i_Coffee_room_01_video (17),Coffee_room_01,1,FALL,TP,0.823777,0.47,0.353777,0.0,0.4661,0.0,0.4424,0.4848,0.200058,-0.001085,0.203876,0.029541,0.0,11,0.029878,0.011145
Le2i_Coffee_room_01_video (17)_w004,Le2i_Coffee_room_01_video (17),Coffee_room_01,1,FALL,TP,0.825865,0.47,0.355865,0.0,0.4662,0.0,0.4345,0.4848,0.089596,-0.001338,0.156791,0.024299,0.0,9,0.044721,0.013117
Le2i_Coffee_room_01_video (18)_w000,Le2i_Coffee_room_01_video (18),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.3927,0.0,0.3564,0.6067,0.118871,-0.000381,0.170373,0.035015,0.0,12,0.994082,0.003256
Le2i_Coffee_room_01_video (18)_w001,Le2i_Coffee_room_01_video (18),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4431,0.0,0.4139,0.5497,0.118871,0.001166,0.183645,0.040696,101.8916,13,0.993834,0.004254
Le2i_Coffee_room_01_video (18)_w002,Le2i_Coffee_room_01_video (18),Coffee_room_01,1,NORMAL,TN,4e-06,0.47,0.469996,0.0,0.4582,0.0,0.4382,0.5255,0.072656,0.00054,0.183645,0.033749,134.2537,8,0.994546,0.004626
Le2i_Coffee_room_01_video (18)_w003,Le2i_Coffee_room_01_video (18),Coffee_room_01,1,NORMAL,TN,7e-06,0.47,0.469993,0.0,0.4257,0.0,0.3945,0.5606,0.162536,-0.002101,0.173578,0.030483,0.0,10,0.997221,0.00129
Le2i_Coffee_room_01_video (18)_w004,Le2i_Coffee_room_01_video (18),Coffee_room_01,1,NORMAL,TN,4e-06,0.47,0.469996,0.0,0.4224,0.0,0.3879,0.5709,0.162536,-0.00089,0.217601,0.04213,0.0,15,0.998055,0.001919
Le2i_Coffee_room_01_video (18)_w005,Le2i_Coffee_room_01_video (18),Coffee_room_01,1,FALL,TP,0.924933,0.47,0.454933,0.0,0.4522,0.0,0.4279,0.5297,1.114501,-0.018504,1.137585,0.128007,0.0,28,0.783494,0.323592
Le2i_Coffee_room_01_video (18)_w006,Le2i_Coffee_room_01_video (18),Coffee_room_01,1,FALL,TP,0.920334,0.47,0.450334,0.0,0.4572,0.0,0.4236,0.5079,1.114501,-0.019623,1.137585,0.15276,0.0,35,0.352376,0.328815
Le2i_Coffee_room_01_video (18)_w007,Le2i_Coffee_room_01_video (18),Coffee_room_01,1,NORMAL,FP,0.898148,0.47,0.428148,0.898148,0.4528,0.0,0.4121,0.5103,0.55568,0.001863,0.639205,0.05941,298.1459,18,0.089373,0.073344
Le2i_Coffee_room_01_video (18)_w008,Le2i_Coffee_room_01_video (18),Coffee_room_01,1,FALL,TP,0.843819,0.47,0.373819,0.0,0.4576,0.0,0.4242,0.5048,0.088256,-0.001399,0.099492,0.022829,0.0,6,0.041344,0.014345
Le2i_Coffee_room_01_video (19)_w000,Le2i_Coffee_room_01_video (19),Coffee_room_01,1,NORMAL,TN,1.2e-05,0.47,0.469988,0.0,0.4818,0.0,0.4806,0.5073,0.065122,0.000242,0.071294,0.015445,268.2123,3,0.998479,0.00135
Le2i_Coffee_room_01_video (19)_w001,Le2i_Coffee_room_01_video (19),Coffee_room_01,1,NORMAL,TN,3e-05,0.47,0.46997,0.0,0.4734,0.0,0.4691,0.5164,0.084284,-0.002255,0.087219,0.021194,0.0,6,0.998689,0.001464
Le2i_Coffee_room_01_video (19)_w002,Le2i_Coffee_room_01_video (19),Coffee_room_01,1,FALL,FN,0.000256,0.47,0.469744,0.999744,0.4371,0.0,0.4103,0.5582,0.830387,-0.013381,1.191044,0.052381,0.0,21,0.964992,0.04493
Le2i_Coffee_room_01_video (19)_w003,Le2i_Coffee_room_01_video (19),Coffee_room_01,1,FALL,TP,0.999873,0.47,0.529873,0.0,0.3923,0.0,0.3394,0.5927,8.155409,-0.027423,18.639151,0.948323,0.0,40,0.675908,0.355388
Le2i_Coffee_room_01_video (19)_w004,Le2i_Coffee_room_01_video (19),Coffee_room_01,1,FALL,TP,0.999626,0.47,0.529626,0.0,0.4116,0.0,0.3552,0.5539,8.155409,-0.011569,18.639151,0.968899,0.0,35,0.263317,0.292441
Le2i_Coffee_room_01_video (19)_w005,Le2i_Coffee_room_01_video (19),Coffee_room_01,1,NORMAL,FP,0.846098,0.47,0.376098,0.846098,0.4396,0.0,0.3903,0.5224,0.931408,0.001493,1.211467,0.085361,623.3707,26,0.091702,0.029078
Le2i_Coffee_room_01_video (19)_w006,Le2i_Coffee_room_01_video (19),Coffee_room_01,1,FALL,TP,0.846117,0.47,0.376117,0.0,0.4352,0.0,0.3782,0.5333,0.266715,-0.00018,0.393217,0.054647,0.0,24,0.072636,0.013412
Le2i_Coffee_room_01_video (2)_w000,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,NORMAL,TN,1e-06,0.47,0.469999,0.0,0.3195,0.0,0.2315,0.6533,0.175532,-0.00044,0.353562,0.02988,0.0,28,0.995177,0.006064
Le2i_Coffee_room_01_video (2)_w001,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,NORMAL,TN,8e-06,0.47,0.469992,0.0,0.3922,0.0,0.3376,0.5939,0.109322,0.000994,0.115407,0.02073,109.8749,20,0.999169,0.000582
Le2i_Coffee_room_01_video (2)_w002,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,NORMAL,TN,8.9e-05,0.47,0.469911,0.0,0.4162,0.0,0.3739,0.5758,0.106,0.000608,0.174845,0.019279,174.1432,10,0.999548,0.000354
Le2i_Coffee_room_01_video (2)_w003,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,NORMAL,TN,0.000113,0.47,0.469887,0.0,0.4054,0.0,0.3588,0.5909,0.106,0.0016,0.174845,0.016393,66.2081,7,0.999237,0.000708
Le2i_Coffee_room_01_video (2)_w004,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,NORMAL,TN,3.6e-05,0.47,0.469964,0.0,0.4284,0.0,0.397,0.563,0.06946,-0.000728,0.134652,0.018929,0.0,9,0.999178,0.000747
Le2i_Coffee_room_01_video (2)_w005,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,NORMAL,TN,3e-05,0.47,0.46997,0.0,0.4584,0.0,0.4515,0.5255,0.122117,-0.001363,0.134652,0.024262,0.0,10,0.999353,0.000604
Le2i_Coffee_room_01_video (2)_w006,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,NORMAL,TN,0.000668,0.47,0.469332,0.0,0.4378,0.0,0.417,0.5382,0.320798,-0.036121,1.146638,0.08059,0.0,10,0.980127,0.069481
Le2i_Coffee_room_01_video (2)_w007,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,FALL,TP,0.829603,0.47,0.359603,0.0,0.4344,0.0,0.3976,0.5364,0.853919,-0.03888,1.703081,0.220053,0.0,31,0.56877,0.405196
Le2i_Coffee_room_01_video (2)_w008,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,FALL,TP,0.782992,0.47,0.312992,0.0,0.4473,0.0,0.3976,0.5321,0.853919,-0.00634,1.703081,0.19701,0.0,34,0.13409,0.09236
Le2i_Coffee_room_01_video (2)_w009,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,FALL,TP,0.750629,0.47,0.280629,0.0,0.4456,0.0,0.3758,0.5394,0.582927,-2.4e-05,0.942591,0.086133,0.0,23,0.099274,0.0386
Le2i_Coffee_room_01_video (2)_w010,Le2i_Coffee_room_01_video (2),Coffee_room_01,1,FALL,TP,0.76139,0.47,0.29139,0.0,0.4421,0.0,0.3685,0.5436,0.155731,-0.002864,0.583602,0.064782,0.0,21,0.119991,0.031158
Le2i_Coffee_room_01_video (20)_w000,Le2i_Coffee_room_01_video (20),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4066,0.0,0.3642,0.5873,0.171178,-0.00038,0.217392,0.035151,0.0,9,0.989074,0.005365
Le2i_Coffee_room_01_video (20)_w001,Le2i_Coffee_room_01_video (20),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4033,0.0,0.3552,0.5891,0.140544,-0.00019,0.217043,0.033913,0.0,7,0.990483,0.006966
Le2i_Coffee_room_01_video (20)_w002,Le2i_Coffee_room_01_video (20),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4265,0.0,0.3818,0.5618,0.140544,-0.001569,0.217043,0.031675,0.0,7,0.995255,0.003084
Le2i_Coffee_room_01_video (20)_w003,Le2i_Coffee_room_01_video (20),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4526,0.0,0.4055,0.52,0.081731,-0.00121,0.0936,0.017538,0.0,1,0.992167,0.002723
Le2i_Coffee_room_01_video (20)_w004,Le2i_Coffee_room_01_video (20),Coffee_room_01,1,NORMAL,TN,0.0,0.47,0.47,0.0,0.4333,0.0,0.3879,0.5309,0.041774,0.000701,0.067633,0.014863,59.5041,0,0.992788,0.003374
